orig_lon,orig_lat,dest_lon,dest_lat,dist,orig_code,dest_code
1777138.6457102753,2425123.404673397,1777138.6457102753,2425123.404673397,0.0,104,104
1777138.6457102753,2425123.404673397,1060239.8335588726,1243282.5882412936,66.54611965811966,104,122
1777138.6457102753,2425123.404673397,-158939.94523210713,799858.582410359,63.85709401709402,104,12420
1777138.6457102753,2425123.404673397,1647307.3946917863,1981555.2462317643,42.45148717948718,104,12580
1777138.6457102753,2425123.404673397,466694.8347207637,838747.644172342,61.619897435897435,104,132
1777138.6457102753,2425123.404673397,172555.44555296918,782214.3102372125,54.79610256410257,104,13140
1777138.6457102753,2425123.404673397,845269.9897471223,1205019.1421642012,38.95049572649573,104,142
1777138.6457102753,2425123.404673397,1995825.7179868715,2400810.960544691,22.352273504273505,104,148
1777138.6457102753,2425123.404673397,1402186.2533183906,2306950.2175967125,25.586119658119657,104,160
1777138.6457102753,2425123.404673397,1474153.8320687078,1231913.3054027453,23.65217094017094,104,16700
1777138.6457102753,2425123.404673397,1369976.170769671,1475085.9572819984,1.6510085470085472,104,172
1777138.6457102753,2425123.404673397,644880.157747396,2109569.585022761,59.15295726495727,104,176
1777138.6457102753,2425123.404673397,737124.6965017054,2066199.4590714187,11.80123076923077,104,176
1777138.6457102753,2425123.404673397,1008020.952547196,1863916.4173468514,74.93859829059829,104,178
1777138.6457102753,2425123.404673397,1205386.9626603033,2134519.5142519614,36.347418803418805,104,184
1777138.6457102753,2425123.404673397,1100501.9101324484,1962129.117621246,52.41292307692308,104,198
1777138.6457102753,2425123.404673397,-160682.09856194386,490249.61709464533,54.656068376068376,104,204
1777138.6457102753,2425123.404673397,-87611.66998281254,1096917.2083656464,61.08006837606837,104,206
1777138.6457102753,2425123.404673397,996571.4483290385,1940943.4691799458,41.720615384615385,104,212
1777138.6457102753,2425123.404673397,-743041.5705250199,1900374.1686288114,38.94112820512821,104,216
1777138.6457102753,2425123.404673397,1025352.345968852,2248398.176121096,52.04321367521367,104,220
1777138.6457102753,2425123.404673397,-963398.9553017792,1017932.7157760629,67.31446153846154,104,21340
1777138.6457102753,2425123.404673397,834638.8151434386,2268659.9410516866,63.411145299145296,104,266
1777138.6457102753,2425123.404673397,1414173.4398326948,1567503.4191080974,36.52635897435897,104,268
1777138.6457102753,2425123.404673397,1240342.419590964,1389728.5018773526,21.347897435897437,104,273
1777138.6457102753,2425123.404673397,1925897.384577346,2323953.716795676,34.433846153846154,104,278
1777138.6457102753,2425123.404673397,51965.0268015463,747152.7310128756,23.856068376068375,104,288
1777138.6457102753,2425123.404673397,835239.0389917875,1896673.6330517728,66.591452991453,104,294
1777138.6457102753,2425123.404673397,1360453.871480342,897499.8237438557,6.997948717948718,104,27260
1777138.6457102753,2425123.404673397,85933.60951427933,1751674.1709113077,50.84984615384615,104,312
1777138.6457102753,2425123.404673397,155407.14073072682,1776075.2050347952,35.284170940170945,104,312
1777138.6457102753,2425123.404673397,272327.9276046046,780613.2204012786,14.864888888888887,104,324
1777138.6457102753,2425123.404673397,-329669.5377962152,527370.51220434,47.06153846153846,104,29700
1777138.6457102753,2425123.404673397,-1740375.9444280695,1788390.7871088353,50.61982905982906,104,332
1777138.6457102753,2425123.404673397,-1860217.9630801964,1473238.5186342879,34.16875213675214,104,348
1777138.6457102753,2425123.404673397,901770.3753566212,1714013.1892324765,20.193846153846152,104,350
1777138.6457102753,2425123.404673397,568801.8471461406,1375263.4951671835,22.18174358974359,104,32820
1777138.6457102753,2425123.404673397,1555676.3522769217,471657.9829443324,42.35835897435897,104,33100
1777138.6457102753,2425123.404673397,634773.6002827584,2259688.2167589855,48.54502564102564,104,376
1777138.6457102753,2425123.404673397,188126.10608905077,2457583.829147119,30.9151452991453,104,378
